Name,Label,Canton_name
Aadorf,9,Winterthur
Aarau,21,Zürich
Aarberg,17,Bern
Aarburg,5,Köniz
Aarwangen,5,Köniz
Abtwil,3,Luzern
Aclens,20,Lausanne
Acquarossa,11,Uzwil
Adelboden,5,Köniz
Adligenswil,3,Luzern
Adlikon,19,Frauenfeld
Adliswil,9,Winterthur
Aedermannsdorf,5,Köniz
Aefligen,5,Köniz
Aegerten,5,Köniz
Aesch (BL),2,Basel
Aesch (LU),3,Luzern
Aesch (ZH),9,Winterthur
Aeschi (SO),5,Köniz
Aeschi bei Spiez,5,Köniz
Aeugst am Albis,9,Winterthur
Affeltrangen,15,St. Gallen
Affoltern am Albis,9,Winterthur
Affoltern im Emmental,5,Köniz
Agarn,17,Bern
Agiez,20,Lausanne
Agno,25,Lugano
Aigle,7,Sion
Aire-la-Ville,8,Genève
Airolo,25,Lugano
Alberswil,3,Luzern
Albinen,7,Sion
Albula/Alvra,11,Uzwil
Alchenstorf,5,Köniz
Allaman,20,Lausanne
Alle,14,Delémont
Allmendingen,5,Köniz
Allschwil,2,Basel
Alpnach,5,Köniz
Alpthal,15,St. Gallen
Altbüron,3,Luzern
Altdorf (UR),12,Altdorf (UR)
Altendorf,15,St. Gallen
Alterswil,7,Sion
Altikon,19,Frauenfeld
Altishofen,3,Luzern
Altnau,19,Frauenfeld
Alto Malcantone,25,Lugano
Altstätten,15,St. Gallen
Altwis,3,Luzern
Amden,0,Glarus Nord
Amlikon-Bissegg,15,St. Gallen
Ammerswil,21,Zürich
Amriswil,19,Frauenfeld
Amsoldingen,5,Köniz
Andeer,11,Uzwil
Andelfingen,19,Frauenfeld
Andermatt,5,Köniz
Andiast,11,Uzwil
Andwil (SG),15,St. Gallen
Anières,8,Genève
Anniviers,7,Sion
Anwil,21,Zürich
Appenzell,1,Teufen (AR)
Apples,20,Lausanne
Aranno,25,Lugano
Arbaz,7,Sion
Arbedo-Castione,25,Lugano
Arboldswil,2,Basel
Arbon,19,Frauenfeld
Arch,5,Köniz
Arconciel,17,Bern
Ardon,7,Sion
Arisdorf,2,Basel
Aristau,9,Winterthur
Arlesheim,2,Basel
Arnex-sur-Nyon,8,Genève
Arnex-sur-Orbe,23,La Chaux-de-Fonds
Arni (AG),4,Zug
Arni (BE),5,Köniz
Arogno,25,Lugano
Arosa,11,Uzwil
Arth,15,St. Gallen
Arzier-Le Muids,20,Lausanne
Ascona,25,Lugano
Assens,20,Lausanne
Astano,25,Lugano
Attalens,20,Lausanne
Attelwil,21,Zürich
Attinghausen,15,St. Gallen
Attiswil,5,Köniz
Au (SG),15,St. Gallen
Aubonne,20,Lausanne
Auboranges,17,Bern
Auenstein,2,Basel
Augst,2,Basel
Ausserberg,7,Sion
Auswil,5,Köniz
Autafond,20,Lausanne
Autigny,20,Lausanne
Auw,4,Zug
Avegno Gordevio,25,Lugano
Avenches,17,Bern
Avers,11,Uzwil
Avry,20,Lausanne
Avully,8,Genève
Avusy,8,Genève
Ayent,7,Sion
Baar,4,Zug
Bachenbülach,9,Winterthur
Bachs,21,Zürich
Bad Ragaz,15,St. Gallen
Bad Zurzach,21,Zürich
Baden,21,Zürich
Bagnes,7,Sion
Baldingen,21,Zürich
Balerna,25,Lugano
Balgach,15,St. Gallen
Ballaigues,20,Lausanne
Ballens,20,Lausanne
Ballwil,3,Luzern
Balm bei Günsberg,6,Zuchwil
Balsthal,5,Köniz
Baltschieder,7,Sion
Bangerten,5,Köniz
Bannwil,5,Köniz
Barberêche,5,Köniz
Bardonnex,8,Genève
Bargen (BE),17,Bern
Bargen (SH),9,Winterthur
Bas-Intyamon,17,Bern
Bas-Vully,23,La Chaux-de-Fonds
Basadingen-Schlattingen,19,Frauenfeld
Basel,2,Basel
Basse-Allaine,14,Delémont
Bassersdorf,9,Winterthur
Bassins,20,Lausanne
Bauen,12,Altdorf (UR)
Baulmes,23,La Chaux-de-Fonds
Bauma,9,Winterthur
Bavois,20,Lausanne
Beatenberg,5,Köniz
Beckenried,22,Kriens
Bedano,25,Lugano
Bedigliora,25,Lugano
Bedretto,25,Lugano
Beggingen,9,Winterthur
Begnins,20,Lausanne
Beinwil (Freiamt),4,Zug
Beinwil (SO),5,Köniz
Beinwil am See,21,Zürich
Belfaux,20,Lausanne
Bellach,6,Zuchwil
Bellevue,8,Genève
Bellikon,9,Winterthur
Bellinzona,25,Lugano
Bellmund,5,Köniz
Bellwald,7,Sion
Belmont-sur-Lausanne,20,Lausanne
Belmont-sur-Yverdon,20,Lausanne
Belp,5,Köniz
Belprahon,5,Köniz
Benken (SG),0,Glarus Nord
Benken (ZH),9,Winterthur
Bennwil,2,Basel
Bercher,20,Lausanne
Berg (SG),15,St. Gallen
Berg (TG),19,Frauenfeld
Berg am Irchel,9,Winterthur
Bergdietikon,9,Winterthur
Bergün/Bravuogn,11,Uzwil
Berikon,9,Winterthur
Beringen,9,Winterthur
Berken,6,Zuchwil
Berlingen,19,Frauenfeld
Bern,17,Bern
Berneck,15,St. Gallen
Bernex,8,Genève
Berolle,20,Lausanne
Beromünster,3,Luzern
Besenbüren,9,Winterthur
Bettenhausen,5,Köniz
Bettens,20,Lausanne
Bettingen,2,Basel
Bettlach,5,Köniz
Bettmeralp,7,Sion
Bettwiesen,9,Winterthur
Bettwil,21,Zürich
Beurnevésin,14,Delémont
Bevaix,23,La Chaux-de-Fonds
Bever,11,Uzwil
Bex,7,Sion
Biasca,11,Uzwil
Biberist,5,Köniz
Biberstein,21,Zürich
Bichelsee-Balterswil,9,Winterthur
Biel-Benken,2,Basel
Biel/Bienne,5,Köniz
Biezwil,17,Bern
Biglen,5,Köniz
Billens-Hennens,20,Lausanne
Binn,7,Sion
Binningen,2,Basel
Bioggio,25,Lugano
Bioley-Magnoux,20,Lausanne
Bioley-Orjulaz,20,Lausanne
Birmensdorf (ZH),4,Zug
Birmenstorf (AG),21,Zürich
Birr,21,Zürich
Birrhard,21,Zürich
Birrwil,21,Zürich
Birsfelden,2,Basel
Birwinken,19,Frauenfeld
Bischofszell,15,St. Gallen
Bissone,25,Lugano
Bister,7,Sion
Bitsch,7,Sion
Bivio,11,Uzwil
Bière,20,Lausanne
Blatten,7,Sion
Blauen,6,Zuchwil
Bleienbach,5,Köniz
Blenio,11,Uzwil
Blitzingen,7,Sion
Blonay,20,Lausanne
Blumenstein,5,Köniz
Bodio,11,Uzwil
Bofflens,20,Lausanne
Bogis-Bossey,8,Genève
Bolken,5,Köniz
Bolligen,5,Köniz
Boltigen,7,Sion
Bonaduz,15,St. Gallen
Boncourt,14,Delémont
Bonfol,14,Delémont
Boningen,5,Köniz
Boniswil,21,Zürich
Bonstetten,9,Winterthur
Bonvillars,20,Lausanne
Boppelsen,21,Zürich
Borex,8,Genève
Bosco/Gurin,5,Köniz
Bossonnens,20,Lausanne
Boswil,21,Zürich
Bottens,20,Lausanne
Bottenwil,21,Zürich
Botterens,17,Bern
Bottighofen,19,Frauenfeld
Bottmingen,2,Basel
Boudry,23,La Chaux-de-Fonds
Bougy-Villars,8,Genève
Boulens,20,Lausanne
Bourg-Saint-Pierre,7,Sion
Bourg-en-Lavaux,20,Lausanne
Bournens,20,Lausanne
Bourrignon,14,Delémont
Boussens,20,Lausanne
Bovernier,7,Sion
Bowil,22,Kriens
Boécourt,5,Köniz
Braunau,19,Frauenfeld
Bregaglia,11,Uzwil
Breggia,25,Lugano
Breil/Brigels,11,Uzwil
Breitenbach,6,Zuchwil
Bremblens,23,La Chaux-de-Fonds
Bremgarten (AG),21,Zürich
Bremgarten bei Bern,17,Bern
Brenles,20,Lausanne
Brenzikofen,5,Köniz
Bretigny-sur-Morrens,20,Lausanne
Bretonnières,20,Lausanne
Bretzwil,6,Zuchwil
Brienz (BE),7,Sion
Brienzwiler,5,Köniz
Brig-Glis,7,Sion
Brione (Verzasca),11,Uzwil
Brione sopra Minusio,25,Lugano
Brislach,6,Zuchwil
Brissago,25,Lugano
Brittnau,5,Köniz
Broc,17,Bern
Brot-Dessous,23,La Chaux-de-Fonds
Brot-Plamboz,23,La Chaux-de-Fonds
Brugg,21,Zürich
Brunegg,21,Zürich
Brusino Arsizio,25,Lugano
Brusio,11,Uzwil
Brügg,5,Köniz
Brünisried,17,Bern
Brüttelen,5,Köniz
Brütten,9,Winterthur
Bubendorf,21,Zürich
Bubikon,9,Winterthur
Buch (SH),19,Frauenfeld
Buch am Irchel,19,Frauenfeld
Buchberg,9,Winterthur
Buchegg,5,Köniz
Buchholterberg,5,Köniz
Buchillon,8,Genève
Buchrain,22,Kriens
Buchs (AG),21,Zürich
Buchs (SG),15,St. Gallen
Buchs (ZH),9,Winterthur
Buckten,21,Zürich
Bulle,20,Lausanne
Bullet,23,La Chaux-de-Fonds
Buochs,15,St. Gallen
Bure,14,Delémont
Burg (AG),21,Zürich
Burg im Leimental,14,Delémont
Burgdorf,5,Köniz
Burgistein,5,Köniz
Bursinel,20,Lausanne
Bursins,20,Lausanne
Burtigny,20,Lausanne
Buseno,11,Uzwil
Bussigny,20,Lausanne
Bussnang,15,St. Gallen
Busswil bei Melchnau,5,Köniz
Bussy (FR),20,Lausanne
Bussy-Chardonney,20,Lausanne
Bussy-sur-Moudon,17,Bern
Buttisholz,3,Luzern
Buttwil,9,Winterthur
Buus,2,Basel
Bäretswil,9,Winterthur
Bäriswil,5,Köniz
Bärschwil,2,Basel
Bätterkinden,5,Köniz
Bättwil,2,Basel
Böbikon,9,Winterthur
Böckten,21,Zürich
Bönigen,5,Köniz
Bösingen,17,Bern
Böttstein,21,Zürich
Bözberg,21,Zürich
Bözen,21,Zürich
Büetigen,17,Bern
Bühl,17,Bern
Bühler,15,St. Gallen
Bülach,9,Winterthur
Bünzen,9,Winterthur
Bürchen,7,Sion
Büren (SO),2,Basel
Büren an der Aare,5,Köniz
Bürglen (TG),15,St. Gallen
Bürglen (UR),15,St. Gallen
Büron,3,Luzern
Büsserach,6,Zuchwil
Bütschwil-Ganterschwil,22,Kriens
Büttenhardt,9,Winterthur
Büttikon,21,Zürich
Cademario,25,Lugano
Cadempino,25,Lugano
Cadenazzo,25,Lugano
Calanca,11,Uzwil
Cama,11,Uzwil
Camorino,11,Uzwil
Campo (Vallemaggia),5,Köniz
Canobbio,25,Lugano
Capriasca,25,Lugano
Carouge (GE),8,Genève
Carrouge (VD),17,Bern
Cartigny,8,Genève
Caslano,25,Lugano
Castaneda,11,Uzwil
Castel San Pietro,25,Lugano
Casti-Wergenstein,11,Uzwil
Cazis,11,Uzwil
Celerina/Schlarigna,11,Uzwil
Centovalli,25,Lugano
Cerentino,5,Köniz
Cevio,5,Köniz
Chalais,7,Sion
Cham,4,Zug
Chamblon,23,La Chaux-de-Fonds
Chamoson,7,Sion
Champagne,23,La Chaux-de-Fonds
Champoz,14,Delémont
Champtauroz,20,Lausanne
Champvent,23,La Chaux-de-Fonds
Champéry,7,Sion
Chancy,8,Genève
Chapelle (Glâne),7,Sion
Chardonne,20,Lausanne
Charrat,7,Sion
Chavannes-de-Bogis,20,Lausanne
Chavannes-des-Bois,20,Lausanne
Chavannes-le-Chêne,20,Lausanne
Chavannes-le-Veyron,20,Lausanne
Chavannes-près-Renens,20,Lausanne
Chavannes-sur-Moudon,20,Lausanne
Chavornay,20,Lausanne
Cheiry,17,Bern
Chermignon,7,Sion
Chesalles-sur-Moudon,20,Lausanne
Cheseaux-Noréaz,20,Lausanne
Cheseaux-sur-Lausanne,20,Lausanne
Chessel,7,Sion
Chevilly,20,Lausanne
Chevroux,17,Bern
Chexbres,20,Lausanne
Cheyres,20,Lausanne
Chiasso,25,Lugano
Chigny,20,Lausanne
Chippis,7,Sion
